x,y,title,tokens,word
-0.035659075,-0.07753434,"esquivéis de oírme ! Amor, con la **cabeza** de Medusa, tiranamente trata mi firmeza [UNK]","esqui-vé-is de oírme ! Amor, con la **cabeza** de Med-usa, tiran-amente trata mi firmeza [UNK]",cabeza
-0.0356778,-0.073719345,"concha de Venus amorosa, que saques la **cabeza**, serenando este cerco de nubes","con-cha de Venus amorosa, que saque-s la **cabeza**, ser-ena-n-do este cer-co de nubes",cabeza
-0.037533235,-0.07730194,"mi alma y vida. Ahora que de nubes la **cabeza** o, Rey de montes, tienes coronada,","mi alma y vida. Ahora que de nubes la **cabeza** o, Rey de montes, tienes corona-da,",cabeza
-0.036218435,-0.059191104,"como ya en tiempo ) ocupa sin espanto la **cabeza** y el rostro, y el quebranto desune","como ya en tiempo ) ocupa sin espan-to la **cabeza** y el rostro, y el quebran-to des-une",cabeza
-0.037019104,-0.069171414,", pues de colores adorna el pecho y la **cabeza** a Flora. Azis con ella comparada llora",", pues de colores adorn-a el pecho y la **cabeza** a Flora. Az-is con ella compara-da llora",cabeza
-0.0438437,-0.02209662,"tro tal se le entregaba se diera el mismo **corazón** gracioso. Si eres tan noble, Aliso,","tro tal se le entrega-ba se diera el mismo **corazón** gracioso. Si eres tan noble, Ali-so,",corazón
-0.045147747,0.020340279,"demás triste me mato que lo que está en el **corazón** escrito, borrarlo en la corteza poco importa.","demás triste me mato que lo que está en el **corazón** escrito, borrar-lo en la corteza poco importa.",corazón
-0.03827716,-0.07362926,lo en la corteza poco importa. Dicen que la **cabeza** de Medusa de tanta crueldad siempre se arrea,lo en la corteza poco importa. Dicen que la **cabeza** de Med-usa de tanta crueldad siempre se arre-a,cabeza
-0.045660954,0.029347576,", y llevad todos la miseria ajena de un **corazón** en celos abrasado. Aliviaréis el",", y lleva-d todos la miseria ajena de un **corazón** en celos abras-ado. Ali-via-ré-is el",corazón
-0.037953276,-0.070685446,"Hoy, por Vandalia insigne y su **cabeza**, magnífico sepulcro al cuerpo santo de Margarita se","Hoy, por Van-dal-ia insi-gne y su **cabeza**, magnífico sepul-cro al cuerpo santo de Margarita se",cabeza
-0.044595603,0.00513372,que encubre su infeliz cordura en cuerpo alegre **corazón** difunto. ¡ Qué pasos da su engaño tan perdidos,que encu-bre su infeliz cor-dura en cuerpo alegre **corazón** difunto. ¡ Qué pasos da su engaño tan perdidos,corazón
-0.039327756,-0.05723196,"o ? [UNK]. [UNK] ¿ Quién da fuerzas al **brazo** que robusto hace a tus leyes firme resistencia,","o ? [UNK]. [UNK] ¿ Quién da fuerzas al **brazo** que rob-usto hace a tus leyes firme resistencia,",brazo
-0.04555903,0.026611663,"igno, aplicas los oídos, si el **corazón** que forma estos gemidos, sus dulces lazos tier","ign-o, aplica-s los oídos, si el **corazón** que forma estos gem-idos, sus dulces lazos tier",corazón
-0.04623069,0.008187273,"ice, en tu amparo confiado. [UNK] Así mi **corazón** perfecto hallaste, que, por tener en ti","ice, en tu amparo confiado. [UNK] Así mi **corazón** perfecto halla-ste, que, por tener en ti",corazón
-0.03840362,-0.06281594,cetro a mil madres formidable [UNK] caiga el **brazo** inhumano con ejemplo [UNK] que en el barrio que,ce-tro a mil madres formi-dable [UNK] caiga el **brazo** inhu-mano con ejemplo [UNK] que en el barrio que,brazo
-0.03850186,-0.048269868,"Que el valor ceda, y venza el **brazo** astuto ! ¿ Qué es esto, celestial","Que el valor ce-da, y ven-za el **brazo** astuto ! ¿ Qué es esto, cele-sti-al",brazo
-0.043785583,0.036558904,pruebo a ser Orfeo. Hay en mi **corazón** furias y penas [UNK] en él es el amor,prue-bo a ser Or-feo. Hay en mi **corazón** furia-s y penas [UNK] en él es el amor,corazón
-0.035918772,-0.069304705,"Segovia más señores ? ¿ No es toda mi **cabeza** calzadores, tinteros y linternas, barba","Se-govia más señores ? ¿ No es toda mi **cabeza** calzado-res, tin-teros y linterna-s, barba",cabeza
-0.03760385,-0.07134896,za flores ve encendidas. Esos que en tu **cabeza** generosa son cruenta hermosura y son agravio,za flores ve encendida-s. Esos que en tu **cabeza** generosa son cru-enta hermos-ura y son agrav-io,cabeza
-0.046464734,0.020070499,"Y con el parto tuyo, ¿ qué montañas tu **corazón** infama, helado y frío ? ¿ De cuál","Y con el parto tuyo, ¿ qué montañas tu **corazón** inf-ama, helado y frío ? ¿ De cuál",corazón
-0.03681814,-0.07210371,"a moco y tos. Peor es tu **cabeza** que mis pies. Yo, polo, no lo","a mo-co y tos. Peo-r es tu **cabeza** que mis pies. Yo, polo, no lo",cabeza
-0.043574188,0.034824345,"se vierte. Ojos, guardad al **corazón** secreto, pues le guarda la lengua a sus pas","se vie-r-te. Ojos, guarda-d al **corazón** secreto, pues le guarda la lengua a sus pas",corazón
-0.04532492,0.0258874,"imposible, el merecella [UNK] débaos mi **corazón** tal cortesía : que en penar por los dos","imposible, el merece-lla [UNK] dé-bao-s mi **corazón** tal cortesía : que en pena-r por los dos",corazón
-0.043475598,0.02007824,y sola majestad blasona. Todo su imperio un **corazón** le cierra [UNK] la soledad es paz de su corona,y sola majestad blas-ona. Todo su imperio un **corazón** le cierra [UNK] la soledad es paz de su corona,corazón
-0.03801103,-0.05942861,", en nieve oscurecida, aplaudió al **brazo**, al fresno y a la caña. Lleva",", en nieve oscure-cida, apla-udi-ó al **brazo**, al fres-no y a la caña. Lleva",brazo
-0.044267192,0.016545495,". ¿ Cómo guarecerá fe tan perdida y el **corazón** que, ardiente, despreciaste ? Siendo tu gloria",". ¿ Cómo guar-ecerá fe tan perdida y el **corazón** que, ardiente, despreci-aste ? Siendo tu gloria",corazón
-0.041854676,0.03693221,"el Amor nos dará eterno : a ti en mi **corazón**, a mí en tus ojos. Aquí, donde","el Amor nos dará eterno : a ti en mi **corazón**, a mí en tus ojos. Aquí, donde",corazón
